# No. res, res sizes (min), (max), echo values (min), (max), spectral values (min), (max), weightin (min), (max), dimsrec (min), (max), epochs, reg., NRMSE (mean), (std)
2,100,500,0.800,0.500,1.000,0.700,1.000,0.500,30.000,80.000,2,1.00e-02,1.0673,1.663888e-01
2,100,500,0.800,0.500,1.000,0.700,1.000,0.500,30.000,80.000,6,1.00e-02,0.6240,2.453182e-02
2,100,500,0.800,0.500,1.000,0.700,1.000,0.500,30.000,80.000,2,1.00e-06,0.6276,5.612170e-02
2,100,500,0.800,0.500,1.000,0.700,1.000,0.500,30.000,80.000,6,1.00e-06,0.6579,2.598651e-01
2,100,500,0.500,0.100,0.400,1.200,1.000,0.500,60.000,60.000,2,1.00e-02,0.7700,1.277637e-01
2,100,500,0.500,0.100,0.400,1.200,1.000,0.500,60.000,60.000,6,1.00e-02,0.7414,1.655041e-01
2,100,500,0.500,0.100,0.400,1.200,1.000,0.500,60.000,60.000,2,1.00e-06,0.9666,1.105553e-01
2,100,500,0.500,0.100,0.400,1.200,1.000,0.500,60.000,60.000,6,1.00e-06,0.9688,1.546138e-01
2,100,500,0.500,0.100,0.400,1.200,1.000,0.500,10.000,100.000,2,1.00e-02,0.5783,2.749657e-01
2,100,500,0.500,0.100,0.400,1.200,1.000,0.500,10.000,100.000,6,1.00e-02,0.9727,2.289352e-01
2,100,500,0.500,0.100,0.400,1.200,1.000,0.500,10.000,100.000,2,1.00e-06,0.9076,1.442030e-01
2,100,500,0.500,0.100,0.400,1.200,1.000,0.500,10.000,100.000,6,1.00e-06,0.8664,5.258763e-02
2,100,500,0.500,0.100,0.400,1.200,1.000,0.500,30.000,80.000,2,1.00e-02,0.7874,2.850731e-01
2,100,500,0.500,0.100,0.400,1.200,1.000,0.500,30.000,80.000,6,1.00e-02,0.8043,1.737414e-01
2,100,500,0.500,0.100,0.400,1.200,1.000,0.500,30.000,80.000,2,1.00e-06,0.9991,1.139364e-01
2,100,500,0.500,0.100,0.400,1.200,1.000,0.500,30.000,80.000,6,1.00e-06,0.7981,1.707503e-01
2,100,500,0.500,0.100,1.200,0.400,1.000,0.500,60.000,60.000,2,1.00e-02,0.6349,4.787562e-02
2,100,500,0.500,0.100,1.200,0.400,1.000,0.500,60.000,60.000,6,1.00e-02,0.7174,2.107208e-01
2,100,500,0.500,0.100,1.200,0.400,1.000,0.500,60.000,60.000,2,1.00e-06,0.7105,1.105161e-01
2,100,500,0.500,0.100,1.200,0.400,1.000,0.500,60.000,60.000,6,1.00e-06,0.7448,2.387076e-01
2,100,500,0.500,0.100,1.200,0.400,1.000,0.500,10.000,100.000,2,1.00e-02,0.6542,1.895686e-01
2,100,500,0.500,0.100,1.200,0.400,1.000,0.500,10.000,100.000,6,1.00e-02,1.1534,2.518918e-01
2,100,500,0.500,0.100,1.200,0.400,1.000,0.500,10.000,100.000,2,1.00e-06,0.8016,1.024789e-01
2,100,500,0.500,0.100,1.200,0.400,1.000,0.500,10.000,100.000,6,1.00e-06,0.7239,1.091539e-01
2,100,500,0.500,0.100,1.200,0.400,1.000,0.500,30.000,80.000,2,1.00e-02,0.9348,1.599306e-02
2,100,500,0.500,0.100,1.200,0.400,1.000,0.500,30.000,80.000,6,1.00e-02,0.7230,2.661976e-01
2,100,500,0.500,0.100,1.200,0.400,1.000,0.500,30.000,80.000,2,1.00e-06,0.4895,2.760870e-01
2,100,500,0.500,0.100,1.200,0.400,1.000,0.500,30.000,80.000,6,1.00e-06,0.4396,2.798865e-02
2,100,500,0.500,0.100,1.000,0.700,1.000,0.500,60.000,60.000,2,1.00e-02,0.8295,1.706812e-01
2,100,500,0.500,0.100,1.000,0.700,1.000,0.500,60.000,60.000,6,1.00e-02,0.6371,2.449198e-01
2,100,500,0.500,0.100,1.000,0.700,1.000,0.500,60.000,60.000,2,1.00e-06,0.7394,2.186562e-01
2,100,500,0.500,0.100,1.000,0.700,1.000,0.500,60.000,60.000,6,1.00e-06,0.4600,1.213232e-02
2,100,500,0.500,0.100,1.000,0.700,1.000,0.500,10.000,100.000,2,1.00e-02,0.7039,2.822728e-01
2,100,500,0.500,0.100,1.000,0.700,1.000,0.500,10.000,100.000,6,1.00e-02,0.8701,2.592911e-01
2,100,500,0.500,0.100,1.000,0.700,1.000,0.500,10.000,100.000,2,1.00e-06,0.8478,7.948221e-02
2,100,500,0.500,0.100,1.000,0.700,1.000,0.500,10.000,100.000,6,1.00e-06,0.4075,2.569881e-02
2,100,500,0.500,0.100,1.000,0.700,1.000,0.500,30.000,80.000,2,1.00e-02,0.7364,1.611876e-01
2,100,500,0.500,0.100,1.000,0.700,1.000,0.500,30.000,80.000,6,1.00e-02,0.7903,3.319097e-01
2,100,500,0.500,0.100,1.000,0.700,1.000,0.500,30.000,80.000,2,1.00e-06,0.5846,1.195208e-01
2,100,500,0.500,0.100,1.000,0.700,1.000,0.500,30.000,80.000,6,1.00e-06,0.6799,4.486854e-02
2,100,500,0.800,0.500,0.400,1.200,0.500,0.500,60.000,60.000,2,1.00e-02,1.1124,1.075738e-01
2,100,500,0.800,0.500,0.400,1.200,0.500,0.500,60.000,60.000,6,1.00e-02,0.6943,1.012055e-01
2,100,500,0.800,0.500,0.400,1.200,0.500,0.500,60.000,60.000,2,1.00e-06,0.6347,1.203022e-01
2,100,500,0.800,0.500,0.400,1.200,0.500,0.500,60.000,60.000,6,1.00e-06,0.6210,1.859570e-01
2,100,500,0.800,0.500,0.400,1.200,0.500,0.500,10.000,100.000,2,1.00e-02,0.7664,1.470433e-01
2,100,500,0.800,0.500,0.400,1.200,0.500,0.500,10.000,100.000,6,1.00e-02,0.7120,2.229408e-01
2,100,500,0.800,0.500,0.400,1.200,0.500,0.500,10.000,100.000,2,1.00e-06,0.5857,2.696583e-01
2,100,500,0.800,0.500,0.400,1.200,0.500,0.500,10.000,100.000,6,1.00e-06,0.5917,1.104155e-01
2,100,500,0.800,0.500,0.400,1.200,0.500,0.500,30.000,80.000,2,1.00e-02,0.5649,1.384363e-01
2,100,500,0.800,0.500,0.400,1.200,0.500,0.500,30.000,80.000,6,1.00e-02,0.7928,2.739811e-01
2,100,500,0.800,0.500,0.400,1.200,0.500,0.500,30.000,80.000,2,1.00e-06,0.6615,4.611422e-01
2,100,500,0.800,0.500,0.400,1.200,0.500,0.500,30.000,80.000,6,1.00e-06,0.7136,9.751363e-02
2,100,500,0.800,0.500,1.200,0.400,0.500,0.500,60.000,60.000,2,1.00e-02,0.9107,1.725487e-01
2,100,500,0.800,0.500,1.200,0.400,0.500,0.500,60.000,60.000,6,1.00e-02,33333.7554,4.714015e+04
2,100,500,0.800,0.500,1.200,0.400,0.500,0.500,60.000,60.000,2,1.00e-06,0.9006,1.358996e-01
2,100,500,0.800,0.500,1.200,0.400,0.500,0.500,60.000,60.000,6,1.00e-06,0.8178,3.325965e-01
2,100,500,0.800,0.500,1.200,0.400,0.500,0.500,10.000,100.000,2,1.00e-02,66666.8523,4.714019e+04
2,100,500,0.800,0.500,1.200,0.400,0.500,0.500,10.000,100.000,6,1.00e-02,33333.8760,4.714007e+04
2,100,500,0.800,0.500,1.200,0.400,0.500,0.500,10.000,100.000,2,1.00e-06,1.1272,3.026487e-01
2,100,500,0.800,0.500,1.200,0.400,0.500,0.500,10.000,100.000,6,1.00e-06,33333.9585,4.714001e+04
2,100,500,0.800,0.500,1.200,0.400,0.500,0.500,30.000,80.000,2,1.00e-02,0.9016,3.345858e-01
2,100,500,0.800,0.500,1.200,0.400,0.500,0.500,30.000,80.000,6,1.00e-02,0.7609,8.009018e-02
2,100,500,0.800,0.500,1.200,0.400,0.500,0.500,30.000,80.000,2,1.00e-06,0.6799,2.353290e-02
2,100,500,0.800,0.500,1.200,0.400,0.500,0.500,30.000,80.000,6,1.00e-06,33333.7921,4.714013e+04
2,100,500,0.800,0.500,1.000,0.700,0.500,0.500,60.000,60.000,2,1.00e-02,0.8334,2.647577e-01
2,100,500,0.800,0.500,1.000,0.700,0.500,0.500,60.000,60.000,6,1.00e-02,0.8006,2.292126e-01
2,100,500,0.800,0.500,1.000,0.700,0.500,0.500,60.000,60.000,2,1.00e-06,0.7278,2.046920e-01
2,100,500,0.800,0.500,1.000,0.700,0.500,0.500,60.000,60.000,6,1.00e-06,0.7236,3.057171e-01
2,100,500,0.800,0.500,1.000,0.700,0.500,0.500,10.000,100.000,2,1.00e-02,0.8410,2.481565e-01
2,100,500,0.800,0.500,1.000,0.700,0.500,0.500,10.000,100.000,6,1.00e-02,0.5652,3.237444e-01
2,100,500,0.800,0.500,1.000,0.700,0.500,0.500,10.000,100.000,2,1.00e-06,0.5148,7.241357e-02
2,100,500,0.800,0.500,1.000,0.700,0.500,0.500,10.000,100.000,6,1.00e-06,0.5231,9.971831e-02
2,100,500,0.800,0.500,1.000,0.700,0.500,0.500,30.000,80.000,2,1.00e-02,0.6058,7.865044e-02
2,100,500,0.800,0.500,1.000,0.700,0.500,0.500,30.000,80.000,6,1.00e-02,1.1024,1.207271e-01
2,100,500,0.800,0.500,1.000,0.700,0.500,0.500,30.000,80.000,2,1.00e-06,0.4704,1.012457e-01
2,100,500,0.800,0.500,1.000,0.700,0.500,0.500,30.000,80.000,6,1.00e-06,0.7473,1.634354e-01
2,100,500,0.500,0.100,0.400,1.200,0.500,0.500,60.000,60.000,2,1.00e-02,0.7939,4.804573e-02
2,100,500,0.500,0.100,0.400,1.200,0.500,0.500,60.000,60.000,6,1.00e-02,0.8538,2.481237e-01
2,100,500,0.500,0.100,0.400,1.200,0.500,0.500,60.000,60.000,2,1.00e-06,0.7201,3.334762e-01
2,100,500,0.500,0.100,0.400,1.200,0.500,0.500,60.000,60.000,6,1.00e-06,0.9007,3.419224e-01
2,100,500,0.500,0.100,0.400,1.200,0.500,0.500,10.000,100.000,2,1.00e-02,0.7302,1.394687e-01
2,100,500,0.500,0.100,0.400,1.200,0.500,0.500,10.000,100.000,6,1.00e-02,1.0045,2.544661e-01
2,100,500,0.500,0.100,0.400,1.200,0.500,0.500,10.000,100.000,2,1.00e-06,0.7551,4.370205e-02
2,100,500,0.500,0.100,0.400,1.200,0.500,0.500,10.000,100.000,6,1.00e-06,0.8309,1.728844e-01
2,100,500,0.500,0.100,0.400,1.200,0.500,0.500,30.000,80.000,2,1.00e-02,0.5787,2.113137e-01
2,100,500,0.500,0.100,0.400,1.200,0.500,0.500,30.000,80.000,6,1.00e-02,0.8156,1.576669e-01
2,100,500,0.500,0.100,0.400,1.200,0.500,0.500,30.000,80.000,2,1.00e-06,0.4719,6.557693e-02
2,100,500,0.500,0.100,0.400,1.200,0.500,0.500,30.000,80.000,6,1.00e-06,0.7665,1.766769e-01
2,100,500,0.500,0.100,1.200,0.400,0.500,0.500,60.000,60.000,2,1.00e-02,0.6327,2.026480e-01
2,100,500,0.500,0.100,1.200,0.400,0.500,0.500,60.000,60.000,6,1.00e-02,0.7615,3.464596e-02
2,100,500,0.500,0.100,1.200,0.400,0.500,0.500,60.000,60.000,2,1.00e-06,1.0106,7.537750e-01
2,100,500,0.500,0.100,1.200,0.400,0.500,0.500,60.000,60.000,6,1.00e-06,0.5648,3.903641e-01
2,100,500,0.500,0.100,1.200,0.400,0.500,0.500,10.000,100.000,2,1.00e-02,0.8768,8.372190e-02
2,100,500,0.500,0.100,1.200,0.400,0.500,0.500,10.000,100.000,6,1.00e-02,1.1346,2.522623e-01
2,100,500,0.500,0.100,1.200,0.400,0.500,0.500,10.000,100.000,2,1.00e-06,0.8196,4.452402e-01
2,100,500,0.500,0.100,1.200,0.400,0.500,0.500,10.000,100.000,6,1.00e-06,0.3632,2.100519e-01
2,100,500,0.500,0.100,1.200,0.400,0.500,0.500,30.000,80.000,2,1.00e-02,0.7554,5.419959e-01
2,100,500,0.500,0.100,1.200,0.400,0.500,0.500,30.000,80.000,6,1.00e-02,0.7070,1.338433e-01
2,100,500,0.500,0.100,1.200,0.400,0.500,0.500,30.000,80.000,2,1.00e-06,0.5813,3.424188e-01
2,100,500,0.500,0.100,1.200,0.400,0.500,0.500,30.000,80.000,6,1.00e-06,0.7636,4.197852e-01
2,100,500,0.500,0.100,1.000,0.700,0.500,0.500,60.000,60.000,2,1.00e-02,0.5620,2.012115e-01
2,100,500,0.500,0.100,1.000,0.700,0.500,0.500,60.000,60.000,6,1.00e-02,0.7354,1.646181e-01
2,100,500,0.500,0.100,1.000,0.700,0.500,0.500,60.000,60.000,2,1.00e-06,0.4050,6.402965e-02
2,100,500,0.500,0.100,1.000,0.700,0.500,0.500,60.000,60.000,6,1.00e-06,0.6043,4.435216e-02
2,100,500,0.500,0.100,1.000,0.700,0.500,0.500,10.000,100.000,2,1.00e-02,0.8555,1.065759e-01
2,100,500,0.500,0.100,1.000,0.700,0.500,0.500,10.000,100.000,6,1.00e-02,0.7254,2.250755e-01
2,100,500,0.500,0.100,1.000,0.700,0.500,0.500,10.000,100.000,2,1.00e-06,0.6000,9.953939e-02
2,100,500,0.500,0.100,1.000,0.700,0.500,0.500,10.000,100.000,6,1.00e-06,33333.8149,4.714011e+04
2,100,500,0.500,0.100,1.000,0.700,0.500,0.500,30.000,80.000,2,1.00e-02,0.7710,1.169633e-01
2,100,500,0.500,0.100,1.000,0.700,0.500,0.500,30.000,80.000,6,1.00e-02,0.6198,2.393991e-01
2,100,500,0.500,0.100,1.000,0.700,0.500,0.500,30.000,80.000,2,1.00e-06,0.4614,9.537310e-02
2,100,500,0.500,0.100,1.000,0.700,0.500,0.500,30.000,80.000,6,1.00e-06,0.5030,2.165028e-01
2,200,400,0.800,0.500,0.400,1.200,1.000,0.500,60.000,60.000,2,1.00e-02,0.7020,2.257047e-01
2,200,400,0.800,0.500,0.400,1.200,1.000,0.500,60.000,60.000,6,1.00e-02,0.7061,3.854138e-01
2,200,400,0.800,0.500,0.400,1.200,1.000,0.500,60.000,60.000,2,1.00e-06,0.7923,2.454354e-01
2,200,400,0.800,0.500,0.400,1.200,1.000,0.500,60.000,60.000,6,1.00e-06,0.9759,2.595760e-02
2,200,400,0.800,0.500,0.400,1.200,1.000,0.500,10.000,100.000,2,1.00e-02,0.8801,7.631957e-02
2,200,400,0.800,0.500,0.400,1.200,1.000,0.500,10.000,100.000,6,1.00e-02,1.0115,2.915528e-01
2,200,400,0.800,0.500,0.400,1.200,1.000,0.500,10.000,100.000,2,1.00e-06,1.0666,1.030006e-01
2,200,400,0.800,0.500,0.400,1.200,1.000,0.500,10.000,100.000,6,1.00e-06,0.7871,1.931297e-01
2,200,400,0.800,0.500,0.400,1.200,1.000,0.500,30.000,80.000,2,1.00e-02,0.6558,2.810136e-02
2,200,400,0.800,0.500,0.400,1.200,1.000,0.500,30.000,80.000,6,1.00e-02,0.7098,1.862115e-01
2,200,400,0.800,0.500,0.400,1.200,1.000,0.500,30.000,80.000,2,1.00e-06,0.6780,1.437352e-01
2,200,400,0.800,0.500,0.400,1.200,1.000,0.500,30.000,80.000,6,1.00e-06,0.7675,4.033151e-01
2,200,400,0.800,0.500,1.200,0.400,1.000,0.500,60.000,60.000,2,1.00e-02,0.6035,1.254514e-01
2,200,400,0.800,0.500,1.200,0.400,1.000,0.500,60.000,60.000,6,1.00e-02,0.5469,2.250755e-01
2,200,400,0.800,0.500,1.200,0.400,1.000,0.500,60.000,60.000,2,1.00e-06,33333.9759,4.714000e+04
2,200,400,0.800,0.500,1.200,0.400,1.000,0.500,60.000,60.000,6,1.00e-06,33333.8752,4.714007e+04
2,200,400,0.800,0.500,1.200,0.400,1.000,0.500,10.000,100.000,2,1.00e-02,0.9121,2.037467e-01
2,200,400,0.800,0.500,1.200,0.400,1.000,0.500,10.000,100.000,6,1.00e-02,0.6595,6.046012e-02
2,200,400,0.800,0.500,1.200,0.400,1.000,0.500,10.000,100.000,2,1.00e-06,0.6326,1.035977e-01
2,200,400,0.800,0.500,1.200,0.400,1.000,0.500,10.000,100.000,6,1.00e-06,0.6374,1.152926e-01
2,200,400,0.800,0.500,1.200,0.400,1.000,0.500,30.000,80.000,2,1.00e-02,0.7564,5.563403e-02
2,200,400,0.800,0.500,1.200,0.400,1.000,0.500,30.000,80.000,6,1.00e-02,0.9013,1.004778e-01
2,200,400,0.800,0.500,1.200,0.400,1.000,0.500,30.000,80.000,2,1.00e-06,33333.8934,4.714006e+04
2,200,400,0.800,0.500,1.200,0.400,1.000,0.500,30.000,80.000,6,1.00e-06,33334.0397,4.713995e+04
2,200,400,0.800,0.500,1.000,0.700,1.000,0.500,60.000,60.000,2,1.00e-02,0.8157,1.124303e-01
2,200,400,0.800,0.500,1.000,0.700,1.000,0.500,60.000,60.000,6,1.00e-02,0.8132,1.282674e-01
2,200,400,0.800,0.500,1.000,0.700,1.000,0.500,60.000,60.000,2,1.00e-06,0.7043,1.026406e-01
2,200,400,0.800,0.500,1.000,0.700,1.000,0.500,60.000,60.000,6,1.00e-06,0.5011,1.132351e-01
2,200,400,0.800,0.500,1.000,0.700,1.000,0.500,10.000,100.000,2,1.00e-02,1.0404,1.757529e-01
2,200,400,0.800,0.500,1.000,0.700,1.000,0.500,10.000,100.000,6,1.00e-02,0.8920,8.422996e-02
2,200,400,0.800,0.500,1.000,0.700,1.000,0.500,10.000,100.000,2,1.00e-06,0.8295,1.731337e-01
2,200,400,0.800,0.500,1.000,0.700,1.000,0.500,10.000,100.000,6,1.00e-06,0.7382,2.726021e-01
2,200,400,0.800,0.500,1.000,0.700,1.000,0.500,30.000,80.000,2,1.00e-02,0.9046,1.582979e-01
2,200,400,0.800,0.500,1.000,0.700,1.000,0.500,30.000,80.000,6,1.00e-02,0.6195,1.198868e-01
2,200,400,0.800,0.500,1.000,0.700,1.000,0.500,30.000,80.000,2,1.00e-06,0.7050,2.072681e-01
2,200,400,0.800,0.500,1.000,0.700,1.000,0.500,30.000,80.000,6,1.00e-06,0.6754,2.851566e-01
2,200,400,0.500,0.100,0.400,1.200,1.000,0.500,60.000,60.000,2,1.00e-02,0.6128,9.078899e-02
2,200,400,0.500,0.100,0.400,1.200,1.000,0.500,60.000,60.000,6,1.00e-02,0.8977,3.268277e-01
2,200,400,0.500,0.100,0.400,1.200,1.000,0.500,60.000,60.000,2,1.00e-06,0.7413,3.653135e-02
2,200,400,0.500,0.100,0.400,1.200,1.000,0.500,60.000,60.000,6,1.00e-06,0.8832,1.877950e-01
2,200,400,0.500,0.100,0.400,1.200,1.000,0.500,10.000,100.000,2,1.00e-02,0.8829,2.101602e-01
2,200,400,0.500,0.100,0.400,1.200,1.000,0.500,10.000,100.000,6,1.00e-02,0.5318,1.645498e-01
2,200,400,0.500,0.100,0.400,1.200,1.000,0.500,10.000,100.000,2,1.00e-06,0.5188,2.360855e-01
2,200,400,0.500,0.100,0.400,1.200,1.000,0.500,10.000,100.000,6,1.00e-06,0.7598,4.836405e-02
2,200,400,0.500,0.100,0.400,1.200,1.000,0.500,30.000,80.000,2,1.00e-02,0.7106,1.458697e-01
2,200,400,0.500,0.100,0.400,1.200,1.000,0.500,30.000,80.000,6,1.00e-02,0.3403,3.251311e-01
2,200,400,0.500,0.100,0.400,1.200,1.000,0.500,30.000,80.000,2,1.00e-06,0.7678,1.088395e-01
2,200,400,0.500,0.100,0.400,1.200,1.000,0.500,30.000,80.000,6,1.00e-06,0.6784,1.628464e-01
2,200,400,0.500,0.100,1.200,0.400,1.000,0.500,60.000,60.000,2,1.00e-02,0.5727,2.160359e-01
2,200,400,0.500,0.100,1.200,0.400,1.000,0.500,60.000,60.000,6,1.00e-02,0.8627,1.264158e-01
2,200,400,0.500,0.100,1.200,0.400,1.000,0.500,60.000,60.000,2,1.00e-06,0.6998,3.009642e-01
2,200,400,0.500,0.100,1.200,0.400,1.000,0.500,60.000,60.000,6,1.00e-06,0.6888,2.523702e-01
2,200,400,0.500,0.100,1.200,0.400,1.000,0.500,10.000,100.000,2,1.00e-02,0.8562,1.783321e-01
2,200,400,0.500,0.100,1.200,0.400,1.000,0.500,10.000,100.000,6,1.00e-02,1.1888,2.782681e-01
2,200,400,0.500,0.100,1.200,0.400,1.000,0.500,10.000,100.000,2,1.00e-06,0.6784,2.046177e-01
2,200,400,0.500,0.100,1.200,0.400,1.000,0.500,10.000,100.000,6,1.00e-06,0.6544,1.532397e-01
2,200,400,0.500,0.100,1.200,0.400,1.000,0.500,30.000,80.000,2,1.00e-02,0.4579,3.242225e-01
2,200,400,0.500,0.100,1.200,0.400,1.000,0.500,30.000,80.000,6,1.00e-02,0.7408,6.670267e-02
2,200,400,0.500,0.100,1.200,0.400,1.000,0.500,30.000,80.000,2,1.00e-06,0.5521,1.158742e-01
2,200,400,0.500,0.100,1.200,0.400,1.000,0.500,30.000,80.000,6,1.00e-06,0.8134,3.272288e-01
2,200,400,0.500,0.100,1.000,0.700,1.000,0.500,60.000,60.000,2,1.00e-02,0.8438,1.828990e-01
2,200,400,0.500,0.100,1.000,0.700,1.000,0.500,60.000,60.000,6,1.00e-02,0.9153,2.954481e-01
2,200,400,0.500,0.100,1.000,0.700,1.000,0.500,60.000,60.000,2,1.00e-06,0.5675,1.965564e-01
2,200,400,0.500,0.100,1.000,0.700,1.000,0.500,60.000,60.000,6,1.00e-06,0.6187,2.023655e-01
2,200,400,0.500,0.100,1.000,0.700,1.000,0.500,10.000,100.000,2,1.00e-02,0.7494,1.768428e-01
2,200,400,0.500,0.100,1.000,0.700,1.000,0.500,10.000,100.000,6,1.00e-02,1.1311,3.853240e-01
2,200,400,0.500,0.100,1.000,0.700,1.000,0.500,10.000,100.000,2,1.00e-06,0.5545,1.500852e-01
2,200,400,0.500,0.100,1.000,0.700,1.000,0.500,10.000,100.000,6,1.00e-06,0.7499,2.734571e-01
2,200,400,0.500,0.100,1.000,0.700,1.000,0.500,30.000,80.000,2,1.00e-02,0.6490,1.124795e-01
2,200,400,0.500,0.100,1.000,0.700,1.000,0.500,30.000,80.000,6,1.00e-02,0.7762,2.754135e-02
2,200,400,0.500,0.100,1.000,0.700,1.000,0.500,30.000,80.000,2,1.00e-06,0.6962,2.031329e-01
2,200,400,0.500,0.100,1.000,0.700,1.000,0.500,30.000,80.000,6,1.00e-06,0.5754,4.955463e-01
2,200,400,0.800,0.500,0.400,1.200,0.500,0.500,60.000,60.000,2,1.00e-02,0.6416,1.993079e-01
2,200,400,0.800,0.500,0.400,1.200,0.500,0.500,60.000,60.000,6,1.00e-02,0.6131,1.187253e-01
2,200,400,0.800,0.500,0.400,1.200,0.500,0.500,60.000,60.000,2,1.00e-06,0.9215,3.618779e-01
2,200,400,0.800,0.500,0.400,1.200,0.500,0.500,60.000,60.000,6,1.00e-06,0.7297,3.671712e-01
2,200,400,0.800,0.500,0.400,1.200,0.500,0.500,10.000,100.000,2,1.00e-02,0.7484,8.790495e-02
2,200,400,0.800,0.500,0.400,1.200,0.500,0.500,10.000,100.000,6,1.00e-02,0.7006,2.876948e-01
2,200,400,0.800,0.500,0.400,1.200,0.500,0.500,10.000,100.000,2,1.00e-06,0.8066,2.354545e-01
2,200,400,0.800,0.500,0.400,1.200,0.500,0.500,10.000,100.000,6,1.00e-06,0.6871,2.705972e-01
2,200,400,0.800,0.500,0.400,1.200,0.500,0.500,30.000,80.000,2,1.00e-02,0.5912,9.106160e-02
2,200,400,0.800,0.500,0.400,1.200,0.500,0.500,30.000,80.000,6,1.00e-02,0.6028,2.519960e-01
2,200,400,0.800,0.500,0.400,1.200,0.500,0.500,30.000,80.000,2,1.00e-06,0.8850,2.733669e-01
2,200,400,0.800,0.500,0.400,1.200,0.500,0.500,30.000,80.000,6,1.00e-06,0.9140,1.481674e-01
2,200,400,0.800,0.500,1.200,0.400,0.500,0.500,60.000,60.000,2,1.00e-02,0.7938,1.055843e-01
2,200,400,0.800,0.500,1.200,0.400,0.500,0.500,60.000,60.000,6,1.00e-02,0.5656,1.650973e-01
