# No. res, res sizes (min), (max), echo values (min), (max), spectral values (min), (max), weightin (min), (max), dimsrec (min), (max), reg., NRMSE (mean), (std)
5,300,300,0.850,0.100,0.300,0.900,1.000,0.500,60.000,60.000,1.00e-02,1.3923,9.303369e-02
5,300,300,0.850,0.100,0.300,0.900,1.000,0.500,60.000,60.000,1.00e-04,1.0873,1.543760e-01
5,300,300,0.850,0.100,0.300,0.900,1.000,0.500,60.000,60.000,1.00e-06,1.2010,1.506323e-01
5,300,300,0.850,0.100,0.300,0.900,1.000,0.500,100.000,10.000,1.00e-02,1.4087,5.706620e-02
5,300,300,0.850,0.100,0.300,0.900,1.000,0.500,100.000,10.000,1.00e-04,1.2332,1.675181e-01
5,300,300,0.850,0.100,0.300,0.900,1.000,0.500,100.000,10.000,1.00e-06,1.1889,8.359238e-02
5,300,300,0.850,0.100,0.300,0.900,1.000,0.500,10.000,100.000,1.00e-02,1.4724,9.463661e-02
5,300,300,0.850,0.100,0.300,0.900,1.000,0.500,10.000,100.000,1.00e-04,0.9464,4.328899e-02
5,300,300,0.850,0.100,0.300,0.900,1.000,0.500,10.000,100.000,1.00e-06,0.9435,8.320981e-02
5,300,300,0.850,0.100,0.300,0.900,1.000,0.500,30.000,80.000,1.00e-02,1.4437,9.199321e-02
5,300,300,0.850,0.100,0.300,0.900,1.000,0.500,30.000,80.000,1.00e-04,0.9687,1.754287e-01
5,300,300,0.850,0.100,0.300,0.900,1.000,0.500,30.000,80.000,1.00e-06,1.0408,2.706047e-01
5,300,300,0.850,0.100,0.900,0.300,1.000,0.500,60.000,60.000,1.00e-02,1.4597,6.214197e-02
5,300,300,0.850,0.100,0.900,0.300,1.000,0.500,60.000,60.000,1.00e-04,0.8933,1.060465e-01
5,300,300,0.850,0.100,0.900,0.300,1.000,0.500,60.000,60.000,1.00e-06,1.0281,3.057908e-01
5,300,300,0.850,0.100,0.900,0.300,1.000,0.500,100.000,10.000,1.00e-02,1.3779,8.810149e-02
5,300,300,0.850,0.100,0.900,0.300,1.000,0.500,100.000,10.000,1.00e-04,1.2230,1.371172e-01
5,300,300,0.850,0.100,0.900,0.300,1.000,0.500,100.000,10.000,1.00e-06,1.2006,3.049523e-01
5,300,300,0.850,0.100,0.900,0.300,1.000,0.500,10.000,100.000,1.00e-02,1.4171,5.986521e-02
5,300,300,0.850,0.100,0.900,0.300,1.000,0.500,10.000,100.000,1.00e-04,1.0077,3.074299e-02
5,300,300,0.850,0.100,0.900,0.300,1.000,0.500,10.000,100.000,1.00e-06,1.1530,2.520161e-01
5,300,300,0.850,0.100,0.900,0.300,1.000,0.500,30.000,80.000,1.00e-02,1.3976,7.619179e-02
5,300,300,0.850,0.100,0.900,0.300,1.000,0.500,30.000,80.000,1.00e-04,1.1324,2.481197e-01
5,300,300,0.850,0.100,0.900,0.300,1.000,0.500,30.000,80.000,1.00e-06,0.7705,3.105784e-02
5,300,300,0.850,0.100,1.000,0.700,1.000,0.500,60.000,60.000,1.00e-02,1.4888,7.238020e-02
5,300,300,0.850,0.100,1.000,0.700,1.000,0.500,60.000,60.000,1.00e-04,1.1376,8.023061e-02
5,300,300,0.850,0.100,1.000,0.700,1.000,0.500,60.000,60.000,1.00e-06,1.1997,1.937956e-01
5,300,300,0.850,0.100,1.000,0.700,1.000,0.500,100.000,10.000,1.00e-02,36.2740,4.956848e+01
5,300,300,0.850,0.100,1.000,0.700,1.000,0.500,100.000,10.000,1.00e-04,0.7471,2.122548e-02
5,300,300,0.850,0.100,1.000,0.700,1.000,0.500,100.000,10.000,1.00e-06,1.3210,8.446870e-02
5,300,300,0.850,0.100,1.000,0.700,1.000,0.500,10.000,100.000,1.00e-02,1.3844,1.147957e-01
5,300,300,0.850,0.100,1.000,0.700,1.000,0.500,10.000,100.000,1.00e-04,1.1339,8.215579e-02
5,300,300,0.850,0.100,1.000,0.700,1.000,0.500,10.000,100.000,1.00e-06,1.0073,2.118795e-01
5,300,300,0.850,0.100,1.000,0.700,1.000,0.500,30.000,80.000,1.00e-02,1.4242,3.811890e-02
5,300,300,0.850,0.100,1.000,0.700,1.000,0.500,30.000,80.000,1.00e-04,1.0066,2.009092e-01
5,300,300,0.850,0.100,1.000,0.700,1.000,0.500,30.000,80.000,1.00e-06,0.9911,3.411851e-02
5,300,300,0.500,0.100,0.400,1.200,1.000,0.500,60.000,60.000,1.00e-02,0.8056,1.614802e-01
5,300,300,0.500,0.100,0.400,1.200,1.000,0.500,60.000,60.000,1.00e-04,0.7229,1.060053e-01
5,300,300,0.500,0.100,0.400,1.200,1.000,0.500,60.000,60.000,1.00e-06,0.8896,8.218929e-02
5,300,300,0.500,0.100,0.400,1.200,1.000,0.500,100.000,10.000,1.00e-02,0.5882,1.468639e-01
5,300,300,0.500,0.100,0.400,1.200,1.000,0.500,100.000,10.000,1.00e-04,0.7792,4.937470e-02
5,300,300,0.500,0.100,0.400,1.200,1.000,0.500,100.000,10.000,1.00e-06,0.9321,1.664823e-01
5,300,300,0.500,0.100,0.400,1.200,1.000,0.500,10.000,100.000,1.00e-02,0.7964,1.648197e-01
5,300,300,0.500,0.100,0.400,1.200,1.000,0.500,10.000,100.000,1.00e-04,0.7302,7.921375e-02
5,300,300,0.500,0.100,0.400,1.200,1.000,0.500,10.000,100.000,1.00e-06,0.7137,1.600629e-01
5,300,300,0.500,0.100,0.400,1.200,1.000,0.500,30.000,80.000,1.00e-02,0.8750,6.455965e-02
5,300,300,0.500,0.100,0.400,1.200,1.000,0.500,30.000,80.000,1.00e-04,0.7927,1.594847e-02
5,300,300,0.500,0.100,0.400,1.200,1.000,0.500,30.000,80.000,1.00e-06,0.5805,1.932098e-01
5,300,300,0.500,0.100,1.200,0.400,1.000,0.500,60.000,60.000,1.00e-02,0.9089,1.201304e-01
5,300,300,0.500,0.100,1.200,0.400,1.000,0.500,60.000,60.000,1.00e-04,0.7819,1.085974e-01
5,300,300,0.500,0.100,1.200,0.400,1.000,0.500,60.000,60.000,1.00e-06,0.6321,2.759946e-02
5,300,300,0.500,0.100,1.200,0.400,1.000,0.500,100.000,10.000,1.00e-02,0.8994,1.119162e-01
5,300,300,0.500,0.100,1.200,0.400,1.000,0.500,100.000,10.000,1.00e-04,0.8113,2.114142e-01
5,300,300,0.500,0.100,1.200,0.400,1.000,0.500,100.000,10.000,1.00e-06,0.8183,1.224205e-01
5,300,300,0.500,0.100,1.200,0.400,1.000,0.500,10.000,100.000,1.00e-02,0.7651,1.849429e-01
5,300,300,0.500,0.100,1.200,0.400,1.000,0.500,10.000,100.000,1.00e-04,0.7597,6.418452e-02
5,300,300,0.500,0.100,1.200,0.400,1.000,0.500,10.000,100.000,1.00e-06,0.5327,1.480861e-01
5,300,300,0.500,0.100,1.200,0.400,1.000,0.500,30.000,80.000,1.00e-02,0.7527,1.415597e-01
5,300,300,0.500,0.100,1.200,0.400,1.000,0.500,30.000,80.000,1.00e-04,0.7083,1.003990e-02
5,300,300,0.500,0.100,1.200,0.400,1.000,0.500,30.000,80.000,1.00e-06,0.5154,8.690076e-02
5,300,300,0.500,0.100,0.300,0.900,1.000,0.500,60.000,60.000,1.00e-02,0.9490,4.762516e-02
5,300,300,0.500,0.100,0.300,0.900,1.000,0.500,60.000,60.000,1.00e-04,0.7368,3.178436e-02
5,300,300,0.500,0.100,0.300,0.900,1.000,0.500,60.000,60.000,1.00e-06,0.8257,1.797412e-01
5,300,300,0.500,0.100,0.300,0.900,1.000,0.500,100.000,10.000,1.00e-02,0.7701,1.637800e-01
5,300,300,0.500,0.100,0.300,0.900,1.000,0.500,100.000,10.000,1.00e-04,0.7055,5.069483e-02
5,300,300,0.500,0.100,0.300,0.900,1.000,0.500,100.000,10.000,1.00e-06,1.0046,1.141214e-01
5,300,300,0.500,0.100,0.300,0.900,1.000,0.500,10.000,100.000,1.00e-02,0.8188,1.989618e-01
5,300,300,0.500,0.100,0.300,0.900,1.000,0.500,10.000,100.000,1.00e-04,0.7457,1.299853e-01
5,300,300,0.500,0.100,0.300,0.900,1.000,0.500,10.000,100.000,1.00e-06,0.7985,1.017760e-01
5,300,300,0.500,0.100,0.300,0.900,1.000,0.500,30.000,80.000,1.00e-02,0.8443,6.736146e-02
5,300,300,0.500,0.100,0.300,0.900,1.000,0.500,30.000,80.000,1.00e-04,0.7686,1.404001e-01
5,300,300,0.500,0.100,0.300,0.900,1.000,0.500,30.000,80.000,1.00e-06,0.7137,5.865008e-02
5,300,300,0.500,0.100,0.900,0.300,1.000,0.500,60.000,60.000,1.00e-02,0.7086,1.017661e-01
5,300,300,0.500,0.100,0.900,0.300,1.000,0.500,60.000,60.000,1.00e-04,0.8291,6.061901e-02
5,300,300,0.500,0.100,0.900,0.300,1.000,0.500,60.000,60.000,1.00e-06,0.6105,1.272352e-01
5,300,300,0.500,0.100,0.900,0.300,1.000,0.500,100.000,10.000,1.00e-02,0.7016,1.430435e-01
5,300,300,0.500,0.100,0.900,0.300,1.000,0.500,100.000,10.000,1.00e-04,0.6415,1.375291e-01
5,300,300,0.500,0.100,0.900,0.300,1.000,0.500,100.000,10.000,1.00e-06,0.7562,2.176676e-01
5,300,300,0.500,0.100,0.900,0.300,1.000,0.500,10.000,100.000,1.00e-02,0.7931,9.043407e-02
5,300,300,0.500,0.100,0.900,0.300,1.000,0.500,10.000,100.000,1.00e-04,0.7987,1.249189e-01
5,300,300,0.500,0.100,0.900,0.300,1.000,0.500,10.000,100.000,1.00e-06,0.6524,1.180982e-01
5,300,300,0.500,0.100,0.900,0.300,1.000,0.500,30.000,80.000,1.00e-02,0.7978,2.395298e-01
5,300,300,0.500,0.100,0.900,0.300,1.000,0.500,30.000,80.000,1.00e-04,0.7382,1.079494e-01
5,300,300,0.500,0.100,0.900,0.300,1.000,0.500,30.000,80.000,1.00e-06,0.5680,6.329495e-02
5,300,300,0.500,0.100,1.000,0.700,1.000,0.500,60.000,60.000,1.00e-02,0.8049,7.383748e-02
5,300,300,0.500,0.100,1.000,0.700,1.000,0.500,60.000,60.000,1.00e-04,0.7181,8.807643e-02
5,300,300,0.500,0.100,1.000,0.700,1.000,0.500,60.000,60.000,1.00e-06,0.3409,2.522597e-01
5,300,300,0.500,0.100,1.000,0.700,1.000,0.500,100.000,10.000,1.00e-02,0.6070,1.724275e-02
5,300,300,0.500,0.100,1.000,0.700,1.000,0.500,100.000,10.000,1.00e-04,0.8145,1.437995e-01
5,300,300,0.500,0.100,1.000,0.700,1.000,0.500,100.000,10.000,1.00e-06,0.7795,1.268347e-01
5,300,300,0.500,0.100,1.000,0.700,1.000,0.500,10.000,100.000,1.00e-02,0.7849,1.619310e-01
5,300,300,0.500,0.100,1.000,0.700,1.000,0.500,10.000,100.000,1.00e-04,0.8394,4.586247e-02
5,300,300,0.500,0.100,1.000,0.700,1.000,0.500,10.000,100.000,1.00e-06,0.6020,6.286909e-02
5,300,300,0.500,0.100,1.000,0.700,1.000,0.500,30.000,80.000,1.00e-02,0.8149,1.021687e-01
5,300,300,0.500,0.100,1.000,0.700,1.000,0.500,30.000,80.000,1.00e-04,0.7233,3.156032e-02
5,300,300,0.500,0.100,1.000,0.700,1.000,0.500,30.000,80.000,1.00e-06,0.3340,2.336778e-01
5,300,300,0.100,0.800,0.400,1.200,1.000,0.500,60.000,60.000,1.00e-02,1.3561,6.064844e-02
5,300,300,0.100,0.800,0.400,1.200,1.000,0.500,60.000,60.000,1.00e-04,1.1106,1.140267e-01
5,300,300,0.100,0.800,0.400,1.200,1.000,0.500,60.000,60.000,1.00e-06,0.9765,2.146458e-01
5,300,300,0.100,0.800,0.400,1.200,1.000,0.500,100.000,10.000,1.00e-02,0.9328,2.811057e-01
5,300,300,0.100,0.800,0.400,1.200,1.000,0.500,100.000,10.000,1.00e-04,1.3720,7.940005e-02
5,300,300,0.100,0.800,0.400,1.200,1.000,0.500,100.000,10.000,1.00e-06,0.6843,8.640028e-02
5,300,300,0.100,0.800,0.400,1.200,1.000,0.500,10.000,100.000,1.00e-02,1.3587,4.120340e-02
5,300,300,0.100,0.800,0.400,1.200,1.000,0.500,10.000,100.000,1.00e-04,0.7381,4.055911e-01
5,300,300,0.100,0.800,0.400,1.200,1.000,0.500,10.000,100.000,1.00e-06,0.9802,2.075550e-01
5,300,300,0.100,0.800,0.400,1.200,1.000,0.500,30.000,80.000,1.00e-02,1.1753,1.026482e-01
5,300,300,0.100,0.800,0.400,1.200,1.000,0.500,30.000,80.000,1.00e-04,0.9495,1.986348e-01
5,300,300,0.100,0.800,0.400,1.200,1.000,0.500,30.000,80.000,1.00e-06,1.0068,2.530075e-01
5,300,300,0.100,0.800,1.200,0.400,1.000,0.500,60.000,60.000,1.00e-02,1.3160,1.529368e-01
5,300,300,0.100,0.800,1.200,0.400,1.000,0.500,60.000,60.000,1.00e-04,1.1343,5.017776e-02
5,300,300,0.100,0.800,1.200,0.400,1.000,0.500,60.000,60.000,1.00e-06,0.8701,1.848477e-01
5,300,300,0.100,0.800,1.200,0.400,1.000,0.500,100.000,10.000,1.00e-02,0.6763,8.283584e-02
5,300,300,0.100,0.800,1.200,0.400,1.000,0.500,100.000,10.000,1.00e-04,1.1030,1.852685e-01
5,300,300,0.100,0.800,1.200,0.400,1.000,0.500,100.000,10.000,1.00e-06,0.8070,7.650342e-02
5,300,300,0.100,0.800,1.200,0.400,1.000,0.500,10.000,100.000,1.00e-02,1.3348,1.009191e-01
5,300,300,0.100,0.800,1.200,0.400,1.000,0.500,10.000,100.000,1.00e-04,1.2104,2.285311e-01
5,300,300,0.100,0.800,1.200,0.400,1.000,0.500,10.000,100.000,1.00e-06,0.8854,1.459493e-01
5,300,300,0.100,0.800,1.200,0.400,1.000,0.500,30.000,80.000,1.00e-02,1.2723,9.388297e-02
5,300,300,0.100,0.800,1.200,0.400,1.000,0.500,30.000,80.000,1.00e-04,1.1282,2.459438e-01
5,300,300,0.100,0.800,1.200,0.400,1.000,0.500,30.000,80.000,1.00e-06,0.7717,7.766451e-02
5,300,300,0.100,0.800,0.300,0.900,1.000,0.500,60.000,60.000,1.00e-02,1.2633,1.437641e-01
5,300,300,0.100,0.800,0.300,0.900,1.000,0.500,60.000,60.000,1.00e-04,1.2757,1.599323e-02
5,300,300,0.100,0.800,0.300,0.900,1.000,0.500,60.000,60.000,1.00e-06,1.0494,2.361719e-01
5,300,300,0.100,0.800,0.300,0.900,1.000,0.500,100.000,10.000,1.00e-02,0.7414,1.157459e-01
5,300,300,0.100,0.800,0.300,0.900,1.000,0.500,100.000,10.000,1.00e-04,1.3535,7.625640e-02
5,300,300,0.100,0.800,0.300,0.900,1.000,0.500,100.000,10.000,1.00e-06,0.8919,3.182890e-01
5,300,300,0.100,0.800,0.300,0.900,1.000,0.500,10.000,100.000,1.00e-02,1.3448,8.719481e-02
5,300,300,0.100,0.800,0.300,0.900,1.000,0.500,10.000,100.000,1.00e-04,0.8759,3.432303e-01
5,300,300,0.100,0.800,0.300,0.900,1.000,0.500,10.000,100.000,1.00e-06,0.9629,1.466868e-01
5,300,300,0.100,0.800,0.300,0.900,1.000,0.500,30.000,80.000,1.00e-02,1.2796,1.195820e-01
5,300,300,0.100,0.800,0.300,0.900,1.000,0.500,30.000,80.000,1.00e-04,1.1787,1.415709e-01
5,300,300,0.100,0.800,0.300,0.900,1.000,0.500,30.000,80.000,1.00e-06,0.8755,2.318422e-01
5,300,300,0.100,0.800,0.900,0.300,1.000,0.500,60.000,60.000,1.00e-02,1.2557,1.351289e-01
5,300,300,0.100,0.800,0.900,0.300,1.000,0.500,60.000,60.000,1.00e-04,0.8148,3.034020e-01
5,300,300,0.100,0.800,0.900,0.300,1.000,0.500,60.000,60.000,1.00e-06,0.9099,2.394298e-01
5,300,300,0.100,0.800,0.900,0.300,1.000,0.500,100.000,10.000,1.00e-02,0.7163,1.494822e-01
5,300,300,0.100,0.800,0.900,0.300,1.000,0.500,100.000,10.000,1.00e-04,1.2570,1.302154e-01
5,300,300,0.100,0.800,0.900,0.300,1.000,0.500,100.000,10.000,1.00e-06,0.7531,2.497418e-02
5,300,300,0.100,0.800,0.900,0.300,1.000,0.500,10.000,100.000,1.00e-02,1.2672,8.244445e-02
5,300,300,0.100,0.800,0.900,0.300,1.000,0.500,10.000,100.000,1.00e-04,0.6254,1.425732e-01
5,300,300,0.100,0.800,0.900,0.300,1.000,0.500,10.000,100.000,1.00e-06,0.8553,2.028468e-01
5,300,300,0.100,0.800,0.900,0.300,1.000,0.500,30.000,80.000,1.00e-02,1.2899,1.732808e-01
5,300,300,0.100,0.800,0.900,0.300,1.000,0.500,30.000,80.000,1.00e-04,1.2026,1.968023e-01
5,300,300,0.100,0.800,0.900,0.300,1.000,0.500,30.000,80.000,1.00e-06,0.9554,1.349061e-01
5,300,300,0.100,0.800,1.000,0.700,1.000,0.500,60.000,60.000,1.00e-02,1.4278,3.464166e-02
5,300,300,0.100,0.800,1.000,0.700,1.000,0.500,60.000,60.000,1.00e-04,0.9588,2.983572e-01
5,300,300,0.100,0.800,1.000,0.700,1.000,0.500,60.000,60.000,1.00e-06,1.1149,9.512765e-02
5,300,300,0.100,0.800,1.000,0.700,1.000,0.500,100.000,10.000,1.00e-02,0.8589,1.494417e-01
5,300,300,0.100,0.800,1.000,0.700,1.000,0.500,100.000,10.000,1.00e-04,1.3156,7.348594e-02
5,300,300,0.100,0.800,1.000,0.700,1.000,0.500,100.000,10.000,1.00e-06,0.7356,4.980810e-02
5,300,300,0.100,0.800,1.000,0.700,1.000,0.500,10.000,100.000,1.00e-02,1.3859,5.946287e-02
5,300,300,0.100,0.800,1.000,0.700,1.000,0.500,10.000,100.000,1.00e-04,1.0954,1.624849e-01
5,300,300,0.100,0.800,1.000,0.700,1.000,0.500,10.000,100.000,1.00e-06,0.8013,1.629051e-01
5,300,300,0.100,0.800,1.000,0.700,1.000,0.500,30.000,80.000,1.00e-02,1.4027,7.535536e-02
5,300,300,0.100,0.800,1.000,0.700,1.000,0.500,30.000,80.000,1.00e-04,0.9752,3.395811e-01
5,300,300,0.100,0.800,1.000,0.700,1.000,0.500,30.000,80.000,1.00e-06,1.1648,4.641981e-02
5,300,300,0.400,0.400,0.400,1.200,1.000,0.500,60.000,60.000,1.00e-02,1.4498,1.377873e-02
5,300,300,0.400,0.400,0.400,1.200,1.000,0.500,60.000,60.000,1.00e-04,0.8836,2.919502e-02
5,300,300,0.400,0.400,0.400,1.200,1.000,0.500,60.000,60.000,1.00e-06,33334.2407,4.713981e+04
5,300,300,0.400,0.400,0.400,1.200,1.000,0.500,100.000,10.000,1.00e-02,1.4643,1.268891e-02
5,300,300,0.400,0.400,0.400,1.200,1.000,0.500,100.000,10.000,1.00e-04,1.1508,8.224926e-02
5,300,300,0.400,0.400,0.400,1.200,1.000,0.500,100.000,10.000,1.00e-06,1.3779,2.650340e-02
5,300,300,0.400,0.400,0.400,1.200,1.000,0.500,10.000,100.000,1.00e-02,1.4480,7.582959e-02
5,300,300,0.400,0.400,0.400,1.200,1.000,0.500,10.000,100.000,1.00e-04,0.9188,2.013410e-01
5,300,300,0.400,0.400,0.400,1.200,1.000,0.500,10.000,100.000,1.00e-06,33333.9928,4.713999e+04
5,300,300,0.400,0.400,0.400,1.200,1.000,0.500,30.000,80.000,1.00e-02,1.4141,5.959010e-02
5,300,300,0.400,0.400,0.400,1.200,1.000,0.500,30.000,80.000,1.00e-04,0.8504,1.254951e-01
5,300,300,0.400,0.400,0.400,1.200,1.000,0.500,30.000,80.000,1.00e-06,1.2220,1.140992e-01
5,300,300,0.400,0.400,1.200,0.400,1.000,0.500,60.000,60.000,1.00e-02,1.4000,3.609672e-02
5,300,300,0.400,0.400,1.200,0.400,1.000,0.500,60.000,60.000,1.00e-04,0.9907,3.116720e-01
5,300,300,0.400,0.400,1.200,0.400,1.000,0.500,60.000,60.000,1.00e-06,33334.1771,4.713986e+04
5,300,300,0.400,0.400,1.200,0.400,1.000,0.500,100.000,10.000,1.00e-02,1.2608,1.993735e-01
5,300,300,0.400,0.400,1.200,0.400,1.000,0.500,100.000,10.000,1.00e-04,1.2580,2.960930e-02
5,300,300,0.400,0.400,1.200,0.400,1.000,0.500,100.000,10.000,1.00e-06,1.2523,2.039625e-01
5,300,300,0.400,0.400,1.200,0.400,1.000,0.500,10.000,100.000,1.00e-02,1.4501,2.177391e-02
5,300,300,0.400,0.400,1.200,0.400,1.000,0.500,10.000,100.000,1.00e-04,0.9703,5.362420e-02
5,300,300,0.400,0.400,1.200,0.400,1.000,0.500,10.000,100.000,1.00e-06,1.0052,1.209502e-01
5,300,300,0.400,0.400,1.200,0.400,1.000,0.500,30.000,80.000,1.00e-02,1.3750,2.719947e-02
5,300,300,0.400,0.400,1.200,0.400,1.000,0.500,30.000,80.000,1.00e-04,1.0961,2.359712e-01
5,300,300,0.400,0.400,1.200,0.400,1.000,0.500,30.000,80.000,1.00e-06,1.1052,1.174640e-01
5,300,300,0.400,0.400,0.300,0.900,1.000,0.500,60.000,60.000,1.00e-02,1.3827,1.039189e-01
5,300,300,0.400,0.400,0.300,0.900,1.000,0.500,60.000,60.000,1.00e-04,1.2065,1.471823e-01
5,300,300,0.400,0.400,0.300,0.900,1.000,0.500,60.000,60.000,1.00e-06,1.3563,6.003794e-02
5,300,300,0.400,0.400,0.300,0.900,1.000,0.500,100.000,10.000,1.00e-02,0.9575,2.360595e-01
5,300,300,0.400,0.400,0.300,0.900,1.000,0.500,100.000,10.000,1.00e-04,1.2248,1.140215e-01
5,300,300,0.400,0.400,0.300,0.900,1.000,0.500,100.000,10.000,1.00e-06,1.3786,1.546934e-01
5,300,300,0.400,0.400,0.300,0.900,1.000,0.500,10.000,100.000,1.00e-02,1.4301,6.831047e-02
5,300,300,0.400,0.400,0.300,0.900,1.000,0.500,10.000,100.000,1.00e-04,1.0303,9.880394e-02
5,300,300,0.400,0.400,0.300,0.900,1.000,0.500,10.000,100.000,1.00e-06,33334.2058,4.713984e+04
5,300,300,0.400,0.400,0.300,0.900,1.000,0.500,30.000,80.000,1.00e-02,1.3738,1.832162e-02
5,300,300,0.400,0.400,0.300,0.900,1.000,0.500,30.000,80.000,1.00e-04,0.9210,1.189016e-01
5,300,300,0.400,0.400,0.300,0.900,1.000,0.500,30.000,80.000,1.00e-06,1.3193,7.427719e-02
5,300,300,0.400,0.400,0.900,0.300,1.000,0.500,60.000,60.000,1.00e-02,1.4328,1.115946e-01
5,300,300,0.400,0.400,0.900,0.300,1.000,0.500,60.000,60.000,1.00e-04,0.8953,2.600657e-01
5,300,300,0.400,0.400,0.900,0.300,1.000,0.500,60.000,60.000,1.00e-06,1.4573,4.624659e-02
5,300,300,0.400,0.400,0.900,0.300,1.000,0.500,100.000,10.000,1.00e-02,1.4203,6.183041e-02
5,300,300,0.400,0.400,0.900,0.300,1.000,0.500,100.000,10.000,1.00e-04,1.3404,7.571159e-02
5,300,300,0.400,0.400,0.900,0.300,1.000,0.500,100.000,10.000,1.00e-06,33334.2150,4.713983e+04
5,300,300,0.400,0.400,0.900,0.300,1.000,0.500,10.000,100.000,1.00e-02,1.3913,3.020920e-02
5,300,300,0.400,0.400,0.900,0.300,1.000,0.500,10.000,100.000,1.00e-04,0.9153,8.126649e-02
5,300,300,0.400,0.400,0.900,0.300,1.000,0.500,10.000,100.000,1.00e-06,33334.2537,4.713980e+04
5,300,300,0.400,0.400,0.900,0.300,1.000,0.500,30.000,80.000,1.00e-02,1.4051,1.961882e-02
5,300,300,0.400,0.400,0.900,0.300,1.000,0.500,30.000,80.000,1.00e-04,0.9826,1.179215e-01
5,300,300,0.400,0.400,0.900,0.300,1.000,0.500,30.000,80.000,1.00e-06,33334.2551,4.713980e+04
5,300,300,0.400,0.400,1.000,0.700,1.000,0.500,60.000,60.000,1.00e-02,1.3759,9.559211e-03
5,300,300,0.400,0.400,1.000,0.700,1.000,0.500,60.000,60.000,1.00e-04,1.0370,6.815006e-02
5,300,300,0.400,0.400,1.000,0.700,1.000,0.500,60.000,60.000,1.00e-06,1.2136,2.437812e-01
5,300,300,0.400,0.400,1.000,0.700,1.000,0.500,100.000,10.000,1.00e-02,1.4013,7.788381e-02
5,300,300,0.400,0.400,1.000,0.700,1.000,0.500,100.000,10.000,1.00e-04,1.1241,8.566562e-02
5,300,300,0.400,0.400,1.000,0.700,1.000,0.500,100.000,10.000,1.00e-06,1.3699,3.222774e-02
5,300,300,0.400,0.400,1.000,0.700,1.000,0.500,10.000,100.000,1.00e-02,1.3816,2.730971e-02
5,300,300,0.400,0.400,1.000,0.700,1.000,0.500,10.000,100.000,1.00e-04,1.0114,6.070501e-02
5,300,300,0.400,0.400,1.000,0.700,1.000,0.500,10.000,100.000,1.00e-06,1.0611,1.589611e-01
5,300,300,0.400,0.400,1.000,0.700,1.000,0.500,30.000,80.000,1.00e-02,1.4523,6.735906e-02
